Country_Code,Country,Year,Digital_Usage_Index,Digital_Access_Index,Digital_Commerce_Behavior_Index,Digital_Payments_Index
EGY,"Egypt, Arab Rep.",2017,0.033366350675626065,0.0,0.0,0.011122116891875354
IND,India,2017,0.10757698137761965,0.005834958330553684,,0.056705969854086664
SAU,Saudi Arabia,2017,0.5188003245014312,,0.3111602821186558,0.41498030331004354
ARE,United Arab Emirates,2017,0.8084224698036285,0.5629566104534235,0.6526068316968608,0.6746619706513043
GBR,United Kingdom,2017,0.9548658502184684,,1.0,0.9774329251092342
IND,India,2021,0.18658046365862482,0.2491462860418137,0.08094644224389229,0.17222439731477693
SAU,Saudi Arabia,2021,0.6743820915281411,,0.8264765385977902,0.7504293150629657
EGY,"Egypt, Arab Rep.",2021,0.0,0.03236667251722518,0.006418749397495228,0.012928473971573469
ARE,United Arab Emirates,2021,0.714362510620381,0.3303409174698441,0.317497918259469,0.4540671154498981
GBR,United Kingdom,2021,1.0,,0.8572346501802103,0.9286173250901051
IND,India,2024,0.35785853195382494,0.6139217197647309,0.19058677685256817,0.3874556761903747
EGY,"Egypt, Arab Rep.",2024,0.20425403172396395,0.39802654875269095,0.041330356730249346,0.21453697906896807
SAU,Saudi Arabia,2024,0.7031270219518096,1.0,0.7431149345274997,0.8154139854931031
