Country_Code,Country,Year,EGDI_Rank,EGDI_Value,EPI_Rank,EPI_Value,HCI_Value,OSI_Value,TII_Value
IND,India,2003,87.0,0.37309,41.0,0.2586,0.57,0.52183,0.02744
IND,India,2004,86.0,0.38789,59.0,0.13114,0.57,0.56756,0.02613
IND,India,2005,87.0,0.40013,57.0,0.15873,0.59,0.58269,0.0277
IND,India,2008,113.0,0.3814,49.0,0.25,0.6195,0.47826,0.0435
IND,India,2010,119.0,0.35673,58.0,0.2,0.64326,0.36825,0.05832
IND,India,2012,125.0,0.38287,75.0,0.1842,0.50249,0.53594,0.11017
IND,India,2014,118.0,0.38343,40.0,0.62745,0.4698,0.5433,0.13723
IND,India,2016,107.0,0.46375,27.0,0.76271,0.50189,0.74638,0.14298
IND,India,2018,96.0,0.5669,15.0,0.9551,0.5484,0.9514,0.2009
IND,India,2020,100.0,0.5964,29.0,0.8571,0.5848,0.8529,0.3515
IND,India,2022,105.0,0.5883,61.0,0.5909,0.5761,0.7934,0.3954
IND,India,2024,97.0,0.66776,61.0,0.6575,0.61487,0.81842,0.57004
