Country_Code,Country,Year,Mobile_Broadband,Fixed_Broadband,Internet_Users,Mobile_Broadband_Normalized,Fixed_Broadband_Normalized,Internet_Users_Normalized,Access_Index
ARE,United Arab Emirates,2015,69.082,14.230538629127,90.5,0.30690353814526483,0.30271795808487,0.8883666279955427,0.49932937474189254
ARE,United Arab Emirates,2016,68.7177,14.3683229738697,90.6000073180483,0.3050414803203852,0.30593761009520504,0.889541802115422,0.5001736308436707
ARE,United Arab Emirates,2017,85.0117,29.9082975943997,94.8199225383446,0.38832550502142543,0.6690652979394033,0.9391295248116965,0.6655067759241752
ARE,United Arab Emirates,2018,81.9074,32.3591212887309,98.4500017817194,0.3724584006959412,0.7263344996703075,0.981786154978151,0.6935263517814665
ARE,United Arab Emirates,2019,93.7223,32.480344369022,99.1499979561243,0.4328482634331648,0.7291671591780846,0.9900117269085763,0.7173423831732753
ARE,United Arab Emirates,2020,204.682,34.345290333178,100.0,1.0,0.7727459636777821,1.0,0.9242486545592606
ARE,United Arab Emirates,2021,199.205,36.5005361093336,100.0,0.97200524099131,0.8231082991733254,1.0,0.9317045133882118
ARE,United Arab Emirates,2022,184.698,36.8485872897377,100.0,0.8978551645007005,0.8312413253511554,1.0,0.9096988299506186
ARE,United Arab Emirates,2023,180.661,37.0968234502256,100.0,0.8772207219010871,0.8370419411950323,1.0,0.9047542210320398
ARE,United Arab Emirates,2024,161.852,40.840113505519,100.0,0.7810817001383606,0.9245126286254416,1.0,0.9018647762546008
EGY,"Egypt, Arab Rep.",2015,39.2493,3.84187963570353,37.8193834276939,0.15441873860563538,0.05996275338202984,0.2693229577597083,0.16123481658245783
EGY,"Egypt, Arab Rep.",2016,41.2837,4.39685382563749,41.2480670885772,0.1648172300657923,0.07293101744455202,0.30961301234928623,0.18245375328654354
EGY,"Egypt, Arab Rep.",2017,43.9831,5.04732016956055,44.9502042452857,0.17861475653430756,0.08813067801395866,0.3531163864994297,0.20662060701589866
EGY,"Egypt, Arab Rep.",2018,47.1657,6.26825297386708,46.92433676792,0.19488207806453528,0.1166606156147089,0.37631418337157013,0.22928562568360478
EGY,"Egypt, Arab Rep.",2019,52.5543,7.04130696004296,57.2828663990195,0.22242499542700153,0.1347248218591599,0.4980360351323831,0.2850619508061815
EGY,"Egypt, Arab Rep.",2020,58.1253,8.5396308016812,71.91420096,0.25090021953461755,0.16973664688087767,0.6699671102868684,0.3635346589007879
EGY,"Egypt, Arab Rep.",2021,57.9492,9.76582299335252,72.05599976,0.2500001141737575,0.19838948231253747,0.6716333711489932,0.37334098921176273
EGY,"Egypt, Arab Rep.",2022,61.6864,10.6832498285136,72.19806556,0.2691021797876478,0.21982729630858772,0.6733027694964154,0.3874107485308837
EGY,"Egypt, Arab Rep.",2023,66.9473,10.8642477216638,74.01190186,0.29599238020189245,0.22405673348910105,0.694616944489372,0.4048886860601218
EGY,"Egypt, Arab Rep.",2024,72.2815,11.6871225241757,74.64839935,0.3232572411666824,0.24328511910220488,0.7020963509189587,0.4228795703959487
GBR,United Kingdom,2015,76.8984,37.7214944577347,92.0002998740234,0.346855744520201,0.851638833671318,0.9059964736750263,0.7014970172888484
GBR,United Kingdom,2016,75.5828,38.6588569366885,94.7758006318882,0.34013127766757506,0.8735424903996062,0.9386110535278026,0.7174282738649946
GBR,United Kingdom,2017,80.2161,39.2489467665261,90.4245504868553,0.3638136068468637,0.8873313131462162,0.8874800297251808,0.7128749832394202
GBR,United Kingdom,2018,92.3591,39.8293995840604,90.692008988783,0.42588049723257204,0.9008949446630539,0.8906229028242808,0.7391327815733022
GBR,United Kingdom,2019,97.7247,40.022769455921,92.5166285497138,0.45330585398572665,0.9054134819311073,0.91206379063607,0.7569277088509679
GBR,United Kingdom,2020,101.412,40.5775246507294,94.81820132,0.47215286419071906,0.9183766286626469,0.9391092989793004,0.7765462639442221
GBR,United Kingdom,2021,117.887,41.1134869970784,96.19650269,0.5563620397737334,0.9309006367356166,0.955305554723665,0.814189410411005
GBR,United Kingdom,2022,119.831,41.2867157729584,95.46530151,0.5662984669259872,0.9349485304027199,0.946713296477661,0.8159867646021226
GBR,United Kingdom,2023,122.782,41.4367685540411,95.44719696,0.5813820042337551,0.9384548629920386,0.9465005520602795,0.8221124730953577
GBR,United Kingdom,2024,121.643,42.1648283773461,95.4720993,0.5755601984074089,0.9554676758636714,0.946793176500806,0.8259403502572954
IND,India,2015,9.038236883488574,1.27578595315943,14.89999962,0.0,0.0,0.0,0.0
IND,India,2016,16.172982142706307,1.38795276378032,16.5,0.036468043476391265,0.002621038681737093,0.01880141448713823,0.019296832215088863
IND,India,2017,25.375,1.31327377028949,18.20000076,0.08350260113726406,0.0008759901279877754,0.03877792156597406,0.041052170943741965
IND,India,2018,36.8957,1.3217822859385,20.0813000379384,0.14238871034146647,0.0010748114060180071,0.06088484600237557,0.06811612258328668
IND,India,2019,46.2768,1.37913181839908,29.52350044,0.19033861608118224,0.002414916755601,0.17183902179437335,0.12153085154371886
IND,India,2020,51.6976,1.63622632751685,43.40544313,0.2180461182966848,0.008422528539602162,0.3349640820530394,0.1871442429631088
IND,India,2021,54.0601,1.9487996093033,49.2580986,0.23012163740532646,0.015726531015065374,0.40373794155792686,0.21652870332610621
IND,India,2022,56.0247,2.35231555917724,55.9,0.24016335797287675,0.025155620667013715,0.4817861362740455,0.24903503830464532
IND,India,2023,60.17024505676288,2.74534696441771,60.25230026,0.2613526102686123,0.03433971452303447,0.5329294998529587,0.2762072748815351
IND,India,2024,61.93034375288906,3.15046250037677,64.9434967,0.27034905701492634,0.04380618222808657,0.5880551922037488,0.3007368104822539
SAU,Saudi Arabia,2015,44.0233,21.1361804985218,69.6162358014004,0.17882023203406094,0.46408435837490447,0.6429639945602126,0.4286228616563927
SAU,Saudi Arabia,2016,41.3795,20.82681485606,74.8792746891625,0.16530689556022946,0.45685530986042516,0.7048093396161569,0.44232384834560384
SAU,Saudi Arabia,2017,61.167,21.6139435772426,94.1755996113911,0.2664473545495405,0.47524840505771,0.9315581626016334,0.5577513074029613
SAU,Saudi Arabia,2018,87.8942,22.4661479201746,93.3100018480347,0.40305891616667816,0.49516214366902356,0.9213866260623711,0.6065358952993576
SAU,Saudi Arabia,2019,93.6931,22.3213703520821,95.7247355953812,0.43269901257264737,0.49177907871319787,0.9497618756107132,0.6247466556321862
SAU,Saudi Arabia,2020,115.87,25.4596763527151,97.8623325,0.5460524854701863,0.5651129051566395,0.9748805230263854,0.6953486378844037
SAU,Saudi Arabia,2021,121.618,33.7973610185654,100.0,0.575432415136418,0.7599423195293245,1.0,0.7784582448885807
SAU,Saudi Arabia,2022,126.544,41.8230078726101,100.0,0.6006108308524682,0.9474802439293529,1.0,0.8493636915939403
SAU,Saudi Arabia,2023,149.746,43.5732045642216,100.0,0.7192039289937189,0.9883776645118695,1.0,0.9025271978351962
SAU,Saudi Arabia,2024,162.595,44.0705800179885,100.0,0.7848794189522107,1.0,1.0,0.9282931396507369
