Country_Code,Country,Year,Fixed_Broadband_5GB_Price,Data_Only_Mobile_Broadband_Mobile_Bundle,Fixed_Broadband_5GB_Price_Normalized,Data_Only_Mobile_Broadband_Mobile_Bundle_Normalized,Affordability_Index
ARE,United Arab Emirates,2015,1.09162,0.73,0.8218358499089372,0.8873928742515986,0.854614362080268
ARE,United Arab Emirates,2016,0.52,0.750618075,0.938678271463116,0.8818649167177535,0.9102715940904347
ARE,United Arab Emirates,2017,0.576181,0.826694005094119,0.9271945513600137,0.8614680314164795,0.8943312913882466
ARE,United Arab Emirates,2018,0.58,0.84,0.9264139257557392,0.857900531793684,0.8921572287747116
ARE,United Arab Emirates,2019,0.58,0.84,0.9264139257557392,0.857900531793684,0.8921572287747116
ARE,United Arab Emirates,2020,0.55,0.79,0.9325460986094276,0.871306142001827,0.9019261203056272
ARE,United Arab Emirates,2021,0.546549,0.633680234,0.9332515028933636,0.9132173790183096,0.9232344409558366
ARE,United Arab Emirates,2022,0.653276,0.75742126,0.9114358891548435,0.8800408997920757,0.8957383944734596
ARE,United Arab Emirates,2023,0.44,0.42,0.9550307324062851,0.9705076575420853,0.9627691949741852
ARE,United Arab Emirates,2024,0.45,0.36,0.9529866747883889,0.986594389791857,0.969790532290123
EGY,"Egypt, Arab Rep.",2015,2.55773,1.28,0.5221545184915674,0.7399311619620254,0.6310428402267964
EGY,"Egypt, Arab Rep.",2016,1.79,0.895963684,0.6790829539903072,0.8428959851233702,0.7609894695568387
EGY,"Egypt, Arab Rep.",2017,1.2779,0.504433165284098,0.7837591446027681,0.9478700954933187,0.8658146200480434
EGY,"Egypt, Arab Rep.",2018,3.02,1.03,0.42766386698908276,0.8069592130027405,0.6173115399959117
EGY,"Egypt, Arab Rep.",2019,3.02,1.03,0.42766386698908276,0.8069592130027405,0.6173115399959117
EGY,"Egypt, Arab Rep.",2020,3.22,1.01,0.3867827146311601,0.8123214570859977,0.5995520858585789
EGY,"Egypt, Arab Rep.",2021,2.984,1.089050975,0.43502247441350883,0.7911269259375245,0.6130747001755167
EGY,"Egypt, Arab Rep.",2022,2.78861,1.018758567,0.4749613162095815,0.8099731783823196,0.6424672472959505
EGY,"Egypt, Arab Rep.",2023,2.4,0.88,0.554395439298643,0.8471760436271696,0.7007857414629063
EGY,"Egypt, Arab Rep.",2024,2.54,0.7,0.5257786326480971,0.8954362403764844,0.7106074365122907
GBR,United Kingdom,2015,0.422135,0.42,0.9586824413406565,0.9705076575420853,0.9645950494413709
GBR,United Kingdom,2016,0.22,0.444695615,1.0,0.9638864617712779,0.981943230885639
GBR,United Kingdom,2017,1.02884,0.45726021621968,0.8346684436340892,0.9605177388438422,0.8975930912389657
GBR,United Kingdom,2018,1.28,0.5,0.7833298925030099,0.9490586812090565,0.8661942868560332
GBR,United Kingdom,2019,1.28,0.58,0.7833298925030099,0.9276097048760277,0.8554697986895188
GBR,United Kingdom,2020,1.99,0.55,0.6382018016323845,0.9356530710009134,0.786927436316649
GBR,United Kingdom,2021,1.27892,0.387551791,0.7835506507257427,0.9792074183782126,0.8813790345519776
GBR,United Kingdom,2022,1.15669,0.350511676,0.8085351669892871,0.9891383252533084,0.8988367461212977
GBR,United Kingdom,2023,1.06,0.32,0.8282991600967248,0.9973188779583714,0.9128090190275481
GBR,United Kingdom,2024,1.08,0.31,0.8242110448609326,1.0,0.9121055224304663
IND,India,2015,5.11223,2.98,0.0,0.2841404148851626,0.1420702074425813
IND,India,2016,4.84,3.229126156,0.05564538053198653,0.21734665208538195,0.13649601630868424
IND,India,2017,4.48021,4.03978172747618,0.12918852956627158,0.0,0.06459426478313579
IND,India,2018,2.55,1.29,0.5237345750302012,0.7372500399203967,0.6304923074752989
IND,India,2019,3.06,0.85,0.4194876365174982,0.8552194097520553,0.6373535231347768
IND,India,2020,3.17,1.62,0.3970030027206408,0.6487730125466528,0.5228880076336468
IND,India,2021,3.32365,1.101053854,0.3655960574216667,0.7879088075925343,0.5767524325071005
IND,India,2022,2.7974,1.113501997,0.47316458956345064,0.78457130853507,0.6288679490492604
IND,India,2023,3.0,0.99,0.4317519822248751,0.8176837011692549,0.624717841697065
IND,India,2024,2.79,0.92,0.4746771922006938,0.8364515554606551,0.6555643738306745
SAU,Saudi Arabia,2015,1.89848,0.56,0.6569090169513698,0.9329719489592849,0.7949404829553274
SAU,Saudi Arabia,2016,1.09,0.597876858,0.8221669872430364,0.9228167010741413,0.8724918441585888
SAU,Saudi Arabia,2017,1.2749,1.25498007968127,0.784372361888137,0.7466393079466592,0.7655058349173981
SAU,Saudi Arabia,2018,1.25,0.97,0.7894620653566983,0.8230459452525121,0.8062540053046052
SAU,Saudi Arabia,2019,1.25,0.97,0.7894620653566983,0.8230459452525121,0.8062540053046052
SAU,Saudi Arabia,2020,2.88,0.72,0.45628067363962865,0.8900739962932273,0.673177334966428
SAU,Saudi Arabia,2021,3.58088,0.89521885,0.3130167633165245,0.8430956842088456,0.5780562237626851
SAU,Saudi Arabia,2022,4.46583,0.893166759,0.13212788442080603,0.8436458748499983,0.48788687963540217
SAU,Saudi Arabia,2023,2.99,0.6,0.43379603984277115,0.9222474607927704,0.6780217503177708
SAU,Saudi Arabia,2024,0.33,0.76,0.9775153662031425,0.8793495081267128,0.9284324371649276
